company_name,date,country,revenue,industry,data volume,Data Type - None,Data Type - Databases,Data Type - Applications,Data Type - Emails,Data Type - Source Code,Data Type - Business Information,Data Type - Designs,Data Type - Financial Information,Data Type - Research Information,Data Type - Employee Information,Data Type - Customer Information,Data Type - Company Information,Data Type - Backup Systems Information,Data Type - Supply Systems Information,Data Type - Business Deals Information,Data Type - Manufacturing Information,Data Type - Personal Information,Data Type - Government Information,Data Type - Medical Information
The Gill Corporation,2024-07-29,United States,272,Aerospace,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Multisuns Communication,2024-07-04,Taiwan,,Technology,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,2024-02-17,United States,,Technology & Services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa,2024-07-19,Argentina,60,Government,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford Health,2024-01-04,United States,110,Healthcare,679,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Kablutronik SRL,2024-04-13,Romania,20,Cabling & Electronics,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Power Systems and Services,2024-04-25,United States,71,Industrial Services,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Run Resort,2024-04-04,United States,38,Hospitality & Resorts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casco Antiguo,2024-08-06,Spain,10,Real Estate & Historic Preservation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasury of Cote d'Ivoire,2024-08-28,Cote d'Ivoire,392,Government,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
